name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
tizan 2 tablet,Tizpa 2mg Tablet,Tidired 2mg Tablet,Tizonec 2mg Tablet,Myodine 2mg Tablet,Ginox Tablet,Dryness in mouth,Sleepiness,Tiredness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Muscle relaxation,,,,,Benzothiadiazole Derivative,PAIN ANALGESICS,No
tresiba 100 units/ml penfill,,,,,,Hypoglycemia (low blood glucose level),Auto-antibody formation,Headache,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,ANTI DIABETIC,No
tenovate gn cream,Cortisol G Cream,Clopan G Cream,Clovate GN Cream,Powercort N Cream,Clonit G Cream,Burning sensation,Stinging sensation,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections,,,,,,DERMA,No
tamodex 20mg tablet,Moxifen 20mg Tablet,Caditam 20mg Tablet,Cytotam 20 Tablet,Tamoxilon 20mg Tablet,Camofen 20mg Tablet,Hot flashes,Nausea,Vaginal discharge,Vaginal bleeding,Mood swings,Fluid retention,,,,,,,,,,,,,,,,,,,,,,,,,,,, Breast cancer,,,,,Nonsteroidal Antiestrogen,ANTI NEOPLASTICS,No
tazloc trio 40 tablet,Telmiride Amh Tablet,Telmikaa AMH Tablet,Amlosafe 3D Tablet,Telmikind-AMH Tablet,Telvas 3D Tablet,Ankle swelling,Dizziness,Nausea,Peripheral edema,Mood changes,Visual disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
triluma cream,Lumaglo Forte Cream,Magnalyte Plus Cream,Lumacip Plus Cream,,,Erythema (skin redness),Skin peeling,Burning sensation,Dryness,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Melasma,,,,,,DERMA,No
tinnex capsule,Carover 20mg Capsule,Tinnicar Capsule,Tinnitod 20mg Capsule,,,Headache,Nausea,Dryness in mouth,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Tinnitus (ringing in the ears),,,,,Quinoxaline Derivative,GASTRO INTESTINAL,No
tiniba 500 tablet,Tinamide 500mg Tablet,TZ 500mg Tablet,Tinifas 500mg Tablet,Tini 500mg Tablet,Wondazole 500mg Tablet,Headache,Dryness in mouth,Nausea,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections, Parasitic infections,,,,Nitroimidazole,GASTRO INTESTINAL,No
trinicalm plus tablet,Neocalm Plus Tablet,Lacalm Plus 5 mg/2 mg Tablet,Domnox Plus 5mg/2mg Tablet,Maphyl Forte 5 mg/2 mg Tablet,Flyper TZ 5mg/2mg Tablet,Nausea,Constipation,Dryness in mouth,Sedation,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Urinary retention,Increased prolactin level in blood,Dizziness,Blurred vision,Nervousness,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia,,,,,,NEURO CNS,No
tazzle 10 tablet,Tadasure 10mg Tablet,Tadacip 10mg Tablet,Tadact 10 Tablet,Tadafil 10mg Tablet,Yaw 10 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
trinerve lc tablet,Stamicar 500mg/1500mcg/1.5mg Tablet,NE-C Tablet,Cynocal-LC Tablet,Nurokind-LC  Tablet,Levocarnil Plus Tablet,Nausea,Vomiting,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nutritional deficiencies,,,,,,VITAMINS MINERALS NUTRIENTS,No
teczine 10 tablet,Levosiz 10 Tablet,L-Cetriver 10 Tablet,LCZ 10 Tablet,Imusun 10mg Tablet,1-AL 10 Tablet,Sleepiness,Fatigue,Dryness in mouth,Headache,Vomiting,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Piperazine Derivatives,RESPIRATORY,No
tonact 40 tablet,Atorless 40mg Tablet,Vasta 40mg Tablet,Atchol 40 Tablet,Orvastin 40mg Tablet,Lipikind 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
testosterone undecanoate 40mg capsule,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,SEX STIMULANTS REJUVENATORS,No
tazloc-beta 25 tablet pr,Newtel-Beta 25 Tablet PR,Telprime Beta 40mg/25mg Tablet PR,Eritel B 40mg/25mg Tablet PR,Met XL-T 25 Tablet,Protol 25 TL Tablet PR,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tenovate-m cream,Klosoft M Cream,Enderm gm Cream,Clotof M Cream,Kloryl M Cream,Mizoc Cream,Burning sensation,Itching,Skin pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin infections,,,,,,DERMA,No
tolperitas-d tablet,Myocom D Tablet,Fentex D 150mg/50mg Tablet,Nactolax D 150mg/50mg Tablet,Tolpetab-D 150mg/50mg Tablet,Tolpispam D 150mg/50mg Tablet,Nausea,Vomiting,Sleepiness,Dizziness,Dryness in mouth,Fatigue,Muscle weakness,Abdominal discomfort,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,, Pain due to muscle spasm,,,,,,PAIN ANALGESICS,No
tazomac 4.5gm injection,Blucillin Tazo 4000mg/500mg Injection,Cadigard 4000 mg/500 mg Injection,Pisa 4000 mg/500 mg Injection,Maxotaz 4000 mg/500 mg Injection,Durataz 4000 mg/500 mg Injection,Nausea,Vomiting,Diarrhea,Rash,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,,ANTI INFECTIVES,No
tazloc-ct 40 tablet,Newtel-CH 40 Tablet,Telmikind-CT 40 Tablet,Telvas-CT 40 Tablet,Lintel-CT 40 Tablet,Teli D Tablet,Dizziness,Back pain,Sinus infection,Diarrhea,Skin ulcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
topamac 25mg tablet,Topsulant 25mg Tablet,Topate 25mg Tablet,Leptomate 25 Tablet,Topirain 25mg Tablet,Epitop 25mg Tablet,Abdominal pain,Diarrhea,Dizziness,Fatigue,Fever,Loss of appetite,Memory impairment,Nausea,Nervousness,Numbness,Psychomotor impairment,Sleepiness,Speech disorder,Taste change,Upper respiratory tract infection,Visual impairment,Weight loss,,,,,,,,,,,,,,,,, Epilepsy/Seizures,Prevention of Migraine, Lennox–Gastaut syndrome,,,Dioxolopyrans Derivative,NEURO CNS,No
tricort 40 injection,Alcicort 40mg Injection,Cascort 40mg Injection,Trilon 40mg Injection,Troeit 40mg Injection,Stancort 40mg Injection,Infection,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatoid arthritis,Treatment of Osteoarthritis,,,,Glucocorticoids,DERMA,No
tretiva 20 capsule,Isac 20mg Capsule,Reznin 20mg Capsule,Popout 20mg Capsule,Systroin 20 Capsule,I Deriva 20mg Capsule,Dry skin,Increased liver enzymes,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Retinoid,DERMA,No
topcef 200 tablet dt,Ximeceff 200 Tablet DT,Vibazime 200 DT Tablet,Safexim 200 Tablet DT,Omnix 200 DT Tablet,Extacef 200 DT Tablet,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},ANTI INFECTIVES,No
telvas-ct 40 tablet,Newtel-CH 40 Tablet,Telmikind-CT 40 Tablet,Lintel-CT 40 Tablet,Teli D Tablet,Macsart CH 40 Tablet,Dizziness,Back pain,Sinus infection,Diarrhea,Skin ulcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
tolperitas 150 tablet,Tolmove 150mg Tablet,Myocom 150 Tablet,Tolsyn 150mg Tablet,Fentex 150mg Tablet,Toltab 150mg Tablet,Sleepiness,Fatigue,Dryness in mouth,Muscle weakness,Nausea,Vomiting,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Muscle relaxation,,,,,Piperidine derivative,PAIN ANALGESICS,No
tonact-asp 75 capsule,Zivast ASP 10 Capsule,Atchol-ASP Capsule,Lipicure-AS 75 Capsule,Atorec-ASP Capsule,Lipikind-AS Capsule,Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Prevention of heart attack and stroke,,,,,,CARDIAC,No
telmikind 20 tablet,Zimtel 20mg Tablet,Ezisartan 20mg Tablet,Telmavas 20 Tablet,Telmijub 20 Tablet,Tsart 20 Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
tenlimac tablet,Ecoglip-T Tablet,Dynaglipt Tablet,Megagliptin Tablet,Glipon 20mg Tablet,Tenali Tablet,Dizziness,Headache,Diarrhea,Hypoglycemia (low blood glucose level),Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Alpha amino acid amides,ANTI DIABETIC,No
texakind 500mg tablet,Noloss 500mg Tablet,Trexanet 500mg Tablet,Synostat 500mg Tablet,Travil 500 Tablet,Nexamic 500mg Tablet,"Musculoskeletal (bone, muscle or joint) pain",Joint pain,Headache,Back pain,Vomiting,Nausea,Abdominal pain,Fatigue,Diarrhea,Hypotension (low blood pressure),Sinus disorder,Nasal discomfort,Muscle cramp,Migraine,Anemia (low number of red blood cells),Allergic dermatitis,Lightheadedness,Thromboembolism,,,,,,,,,,,,,,,,Treatment of Bleeding,,,,,"Amino Acids, Peptides Analogues",BLOOD RELATED,No
tazloc-beta 50 tablet pr,Newtel-Beta 50 Tablet PR,Clemitan Pro 40mg/50mg Tablet PR,Telprime Beta 40mg/50mg Tablet PR,Eritel B 40mg/50mg Tablet PR,Met XL-T 50 Tablet,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
telma-ct 40/12.5 tablet,Newtel-CH 40 Tablet,Telmikind-CT 40 Tablet,Telvas-CT 40 Tablet,Lintel-CT 40 Tablet,Teli D Tablet,Dizziness,Back pain,Sinus infection,Diarrhea,Skin ulcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
telma-ln 40 tablet,Telmiget LN 10mg/40mg Tablet,Cilatone-T40 Tablet,Natcocil-T Tablet,Telplus Tablet,Cilaht TN 10mg/40mg Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tide 10 tablet,Torsinol  10 Tablet,Torvel 10 Tablet,TOR 10 Tablet,Meltor 10 Tablet,Torbel 10mg Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,CARDIAC,No
tresiba 100iu/ml flextouch,,,,,,Hypoglycemia (low blood glucose level),Auto-antibody formation,Headache,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,ANTI DIABETIC,No
tenovate ointment,Bariderm Z Ointment,Leclobe 0.05% Ointment,Hagsol Ointment,Topinate Ointment,Lozivate Ointment,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",DERMA,No
tripride 2 tablet sr,Pioplus 2 Tablet SR,Ziglim Plus 2 Tablet SR,Triglynase 2 Tablet SR,Trigli 2 Tablet SR,Triglimiprex 2 Tablet SR,Hypoglycemia (low blood glucose level),Dizziness,Headache,Nausea,Vomiting,Diarrhea,Flatulence,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
tacroz ointment,Tacvido Ointment,Eczrid Ointment,Tacgo 0.03% Ointment,Takfa Ointment,Tecum 0.03% Ointment,"Application site reactions (burning, irritation, itching and redness)",Diarrhea,Increased glucose level in blood,Increased thirst,Kidney damage,Liver damage,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,,,,,Macrolide Lactams,ANTI NEOPLASTICS,No
taxim-o cv 200 tablet,Glencef CV 200mg/125mg Tablet,Trixon CV 200 mg/125 mg Tablet,Viocef CV 200 mg/125 mg Tablet,Mahacef-CV 200 Tablet,Zifi CV 200 Tablet,Nausea,Diarrhea,Stomach pain,Indigestion,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
theo-asthalin tablet,Salbusun T 2 mg/100 mg Tablet,Asthelite 2 mg/100 mg Tablet,Theo Salbid 2 mg/100 mg Tablet,Bronkasma LS 2mg/100mg Tablet,Broncure 2mg/100mg Tablet,Nausea,Tremors,Headache,Palpitations,Muscle cramp,Throat irritation,Respiratory tract infection,Respiratory tract inflammation,Cough,Arrhythmia (irregular heartbeats),Tachycardia,Dizziness,Decreased potassium level in blood,Nervousness,Weakness,Irritability,Drowsiness,"Flushing (sense of warmth in the face, ears, neck and trunk)",Difficulty in urination,,,,,,,,,,,,,,,Treatment of Asthma,,,,,,RESPIRATORY,No
tugain 10% solution,Minoxy 10 Solution,Brintop 10% Solution,Rootz-M10 Solution,Imxia 10% Solution,MNX-Forte Solution,Itching,Chest pain,Headache,Hypertrichosis (excessive hair growth),Rash,Dermatitis,Hypersensitivity,Weight gain,Fluid retention,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Dialkylarylamines,DERMA,No
turbocort oromucosal paste,Cinort 0.1% Oral Paste,Oraways Oral Paste,Orotim Oromucosal Paste,Kenacort 0.1% Oral Paste,Tess Oral Paste,Application site irritation,Increased risk of infection,Headache,Joint pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Mouth ulcers,,,,,Glucocorticoids,DERMA,No
telista 40 tablet,Telmisoft 40 Tablet,Telmizem 40 Tablet,Telmizem 40 Tablet,Telmook 40mg Tablet,Tels 40mg Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
telvas beta 50 tablet er,Telmikind Beta 50 Tablet ER,Macsart Beta 50 Tablet ER,Arbitel-MT 50 Tablet ER,Tel-Revelol 40/50 Tablet ER,Telminorm-Bxl 40/50 Tablet ER,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
triolmezest 40 tablet,Olmetru AMH 40mg/5mg/12.5mg Tablet,Thriomesar Tablet,Olmetime-AMH 40 Tablet,Triolmighty 40 Tablet,Olmewon Plus 40 Tablet,Headache,Dizziness,Nausea,Upper respiratory tract infection,Fatigue,Urinary tract infection,Diarrhea,Joint swelling,Peripheral edema,Nasopharyngitis (inflammation of the throat and nasal passages),Muscle spasm,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
tenvir tablet,Tavin Tablet,Tenarica Tablet,Ricovir 300mg Tablet,Synflovir Tablet,Synfovir Tablet,Diarrhea,Nausea,Rash,Weakness,Vomiting,Fatigue,Abdominal pain,Increased transaminase level in blood,Decreased phosphate level in blood,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic hepatitis B virus (HBV) infection,,,,,Adenine analog,ANTI INFECTIVES,No
telmikind-trio 6.25 tablet,Cortel 3D Tablet,Cilix TC 40mg/10mg/6.25mg Tablet,Cinicare TC 6.25 Tablet,Telmipack Trio 6.25 Tablet,Telplus Trio 40mg/10mg/6.25mg Tablet,Ankle swelling,Headache,Dizziness,Tiredness,Palpitations,Sleepiness,Increased blood uric acid,Glucose intolerance,Taste change,"Flushing (sense of warmth in the face, ears, neck and trunk)",Upset stomach,Altered blood lipid level,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
terbinaforce 500 tablet,Terbest 500 Tablet,Lamifin -Forte Tablet,Fintrix 500 Tablet,Abinex 500 Tablet,Texiford 500mg Tablet,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections,,,,,Allylamine,ANTI INFECTIVES,No
trigabantin 100 tablet,Gabarace-M 100mg/0.5mg/100mg Tablet,Alfagaba 100 Tablet,Gabapin Plus 100 Tablet,Supinita Tablet,,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Neuropathic pain,,,,,,NEURO CNS,No
topp 40 tablet,Pantoride 40 Tablet,Panplus 40 Tablet,Pancare 40mg Tablet,Aciban 40 Tablet,Pazom 40mg Tablet,Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heartburn,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,Sulfinylbenzimidazole Derivative,GASTRO INTESTINAL,No
tadact 10 tablet,Tadasure 10mg Tablet,Tadacip 10mg Tablet,Tadafil 10mg Tablet,Yaw 10 Tablet,Upwardz 10 Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
telmikind beta 40mg/25mg tablet er,Telmikaa MT 25 Tablet ER,Telvas Beta 25 Tablet ER,Macsart Beta 25 Tablet ER,Telmed Beta 25 Tablet ER,Arbitel-MT 25 Tablet ER,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tenovate gn cream,Cortisol G Cream,Clopan G Cream,Clovate GN Cream,Powercort N Cream,Clonit G Cream,Burning sensation,Stinging sensation,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections,,,,,,DERMA,No
tranostat tablet,Noloss 500mg Tablet,Trexanet 500mg Tablet,Texakind 500mg Tablet,Synostat 500mg Tablet,Travil 500 Tablet,"Musculoskeletal (bone, muscle or joint) pain",Joint pain,Headache,Back pain,Vomiting,Nausea,Abdominal pain,Fatigue,Diarrhea,Hypotension (low blood pressure),Sinus disorder,Nasal discomfort,Muscle cramp,Migraine,Anemia (low number of red blood cells),Allergic dermatitis,Lightheadedness,Thromboembolism,,,,,,,,,,,,,,,,Treatment of Bleeding,,,,,"Amino Acids, Peptides Analogues",BLOOD RELATED,No
tricaine mps gel cardamom sugar free,Loagel O Oral Suspension,,,,,Constipation,Diarrhea,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acidity,Treatment of Stomach ulcers,Treatment of Bloating,,,,GASTRO INTESTINAL,No
travatan ophthalmic solution,Tprost 0.004% Ophthalmic Solution,Tprost 0.004% Ophthalmic Solution,T Prost Eye Drop,Travoprost Eye Drop,Travozest 0.004% Ophthalmic Solution,Eye pain,Foreign body sensation,Eye discomfort,Eye itching,Ocular hyperemia,Decreased vision,,,,,,,,,,,,,,,,,,,,,,,,,,,, Glaucoma, Ocular hypertension,,,,Prostaglandin Analogu,OPHTHAL,No
topcid 40 tablet,Famowal 40mg Tablet,Famodin 40mg Tablet,Fadine 40 Tablet,Famocer 40mg Tablet,Acicon 40mg Tablet,Headache,Dizziness,Diarrhea,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,Treatment of Heartburn,,,Thiazoles Derivative,GASTRO INTESTINAL,No
thyronorm 62.5mcg tablet,Thyropax 62.5mcg Tablet,Thyroquik 62.5mcg Tablet,Thyrox 62.5mcg Tablet,,,Palpitations,Vomiting,Anxiety,Diarrhea,"Flushing (sense of warmth in the face, ears, neck and trunk)",Weight loss,Nervousness,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypothyroidism,,,,,Iodinated amino acid derivative,HORMONES,No
teniva-m tablet er,Teneliglip-M 500 Tablet ER,Glyten M 500mg/20mg Tablet ER,Tenipack M Tablet ER,Tenlicure M 500 Tablet ER,Tenemerze M 500mg/20mg Tablet ER,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Headache,Bloating,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
tonact 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Liponorm 20mg Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,CARDIAC,No
telma-am tablet,Newtel-AM Tablet,Macsart AM Tablet,Telmikind-AM Tablet,Telvas-AM Tablet,Telmiset AM 40mg/5mg Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
taxim-o dt 100 tablet,Topcef 100 DT Tablet,Fevorit 100mg Tablet DT,Milixim 100 DT Tablet,Cefspan 100mg Tablet DT,Gramocef 100mg Tablet DT,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},ANTI INFECTIVES,No
torglip 50 tablet,Vildambic 50mg Tablet,Vildanat Tablet,Vildamac 50 Tablet,Viltor 50 Tablet,Vinsorin Tablet,Hypoglycemia (low blood glucose level),Tremors,Headache,Dizziness,Fatigue,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Pyrrolidine-carbonitrile derivative,ANTI DIABETIC,No
telsar 40 tablet,Telmisoft 40 Tablet,Telmizem 40 Tablet,Telmizem 40 Tablet,Telmook 40mg Tablet,Tels 40mg Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
telma-beta 25 tablet er,Telmikaa MT 25 Tablet ER,Telvas Beta 25 Tablet ER,Telmikind Beta 40mg/25mg Tablet ER,Macsart Beta 25 Tablet ER,Telmed Beta 25 Tablet ER,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
typbar tcv vaccine,Typhibev Vaccine,,,,,"Injection site reactions (pain, swelling, redness)",Feeling of discomfort,Nausea,Diarrhea,Fever,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Typhoid fever,,,,,Vaccines,VACCINES,No
topisal 3% ointment,Taxalic Ointment,Zoyclo-S Ointment,Diplowax Ointment,Iceclob SL Ointment,Aeroqueen-S Ointment,Skin peeling,Thinning of skin,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema,Treatment of Psoriasis,,,,,DERMA,No
telekast 10 tablet,Vitamont 10mg Tablet,Solukast 10mg Tablet,Ebmont 10mg Tablet,Symkast 10mg Tablet,Lasma 10 Tablet,Nausea,Vomiting,Headache,Diarrhea,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,"1,3-Diarylpropanoid Derivative",RESPIRATORY,No
tadacip 20 tablet,Tada 20mg Tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
thyronorm 37.5mcg tablet,Thyropax 37.5mcg Tablet,Thyrox 37.5mcg Tablet,,,,Palpitations,Vomiting,Anxiety,Diarrhea,"Flushing (sense of warmth in the face, ears, neck and trunk)",Weight loss,Nervousness,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypothyroidism,,,,,Iodinated amino acid derivative,HORMONES,No
