medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
valrate cr 500 tablet,valrate cr 500 tableta,valprolex chrono 500 cr tablet,torvate chrono 500 tablet cr,valprid cr 500 tablet,valtec cr 500 tablet,epizeal 333mg/145mg tablet cr,valprolex chrono 500 cr tableta,torvate chrono 500 tableta cr,valprid cr 500 tableta,valtec cr 500 tableta,epizeal 333mg/145mg tableta cr
valprol -cr 400 tablet,valprol -cr 400 tableta,encorate chrono 400 tablet cr,,,,,encorado crono 400 tableta cr,,,,
voraze 200mg tablet,tableta voraze 200mg,voriways tablet,verz 200mg tablet,voritrol 200 tablet,vorilong 200mg tablet,vosicaz tablet,tableta voriways,tableta de 200mg de verz,voritrol 200 tableta,vorilong 200mg tableta,tableta vosicaz
volga r 0.5mg/0.3mg tablet,volga r 0.5mg/0.3mg tableta,zrepag rapid 0.5mg/0.3mg tablet,combose 0.5 tablet,ppg-r 0.5 tablet,voglinorm-r tablet,voglimac r hd 0.5mg/0.3mg tablet,zrepag rapid 0.5mg/0.3 mg de tableta,combinar 0.5 tableta,ppg-r 0.5 tableta,tableta voglinorm-r,voglimac r hd 0.5mg/0.3mg tableta
venosuf capsule,capsula de venosuf,dobewin d 500mg capsule,doberol capsule,eflo 500mg capsule,swift 500mg capsule,cabisyl 500mg capsule,capsula de dobewin d 500mg,capsula de doberol,capsula de 500 mg,capsula swift 500mg,capsula de cabisyl 500mg
votrient 200mg tablet,tableta votrient 200mg,pazocam 200mg tablet,pazolit 200mg tablet,pazoci 200 tablet,pazliz 200 tablet,pazolong 200mg tablet,tableta pazocam 200mg,tableta pazolit 200mg,pazoci 200 tableta,tableta pazliz 200,tableta pazolong 200mg
valros-f tablet,tableta valros-f,rosys-ft 10 tablet,lipipoint-f tablet,lodens f 145mg/10mg tablet,lavirosu f 145mg/10mg tablet,rostake f 145mg/10mg tablet,rosys-ft 10 tableta,tableta lipipoint-f,loden f 145mg/10mg tableta,lavirosu f 145mg/10mg tableta,rostake f 145mg/10mg tableta
vidinorm ophthalmic solution,solucion oftalmica de vidinorm,synobrim-t eye drops,brotim eye drop,btcom eye drop,bromostar-t eye drop,brimotim eye drops,synobrim-t ojo gotas,gota de ojos brotim,btcom eye drop,bromostar-t ojo caida,gotas de los ojos de broimotim
valgress-cr 200 tablet,valgress-cr 200 tableta,valver cr 133.5mg/58mg tablet,torvate chrono 200 tablet cr,valrate cr 200 tablet,encorate chrono 200 tablet cr,epizeal 133.5mg/58mg tablet cr,valver cr 133.5mg/58mg tableta,torvate chrono 200 tableta cr,valrate cr 200 tableta,encorado chrono 200 tableta cr,epizeal 133.5mg/58mg tableta cr
vintel 40 tablet,vintel 40 tableta,danavish telmisartan 40mg tablet,macsart 40 tablet,telmikind 40 tablet,tehit 40mg tablet,inditel 40 tablet,danavish telmisartan 40mg tableta,macsart 40 tableta,telmikind 40 tableta,tehit 40mg tableta,inditel 40 tableta
vildanat m 1000mg/50mg tablet,vildanat m 1000mg/50mg tableta,vildamac m 50/1000 tablet,vilshine m 1000mg/50mg tablet,vilmax-m 1000 tablet,viltrack m forte 1000mg/50mg tablet,vilnip m 1000 tablet,vildamac m 50/1000 tableta,vilshine m 1000mg/50mg tableta,vilmax-m 1000 tableta,viltrack m forte 1000mg/50 mg de tableta,vilnip m 1000 tableta
voglimac 0.2 tablet,voglimac 0.2 tableta,vozuca activ 0.2 tablet,o berry 0.2 tablet,voglibite 0.2 tablet,vogliboz 0.2 tablet,ppg 0.2 tablet,vozuca activa 0.2 tableta,o berry 0.2 tableta,voglibita 0.2 tableta,vogliboz 0.2 tableta,ppg 0.2 tableta
voglitor mf forte 0.3 tablet,voglitor mf forte 0.3 tableta,,,,,,,,,,
vigoquin-t eye drop,vigoquin-t gota de ojos,vodamox t eye drop,vecamox t eye drop,tobhit m eye drop,moxicin t eye drop,mocin t eye drop,vodamox t gota de ojos,vecamox t,tobhit m ojo gota,moxicina t gota de ojos,mocin t
vilarest 40 tablet,mas vilar la tableta 40,vilodon 40mg tablet,vilazine 40 tablet,valz 40 tablet,vilalert 40mg tablet,vilamid 40 tablet,vilodon 40mg tableta,vilazina 40 tableta,valz 40 tableta,vilalert 40 mg de tableta,vilamid 40 tableta
valkem od  750mg tablet,valkem od 750mg tableta,proval 750mg tablet,proexsun 750mg tablet,divalmed 750mg tablet,di valp 750mg tablet,divaset od 750mg tablet,tableta de 750 mg,tableta de 750 mg de proexsun,divalmed 750mg tableta,di valp 750mg tableta,tableta divaset od 750mg
vendep-d 50 tablet er,vendep-d 50 tablet er,unidex 50 tablet er,dvpex 50 tablet er,desveren 50 tablet er,venpower 50 tablet er,vensol-xr 50 tablet,unidex 50 tableta er,dvpex 50 tableta er,desveren 50 tableta er,venpower 50 tableta er,vensol-xr 50 tableta
viclob n cream,crema viclob n,cortisol g cream,clopan g cream,clovate gn cream,powercort n cream,tenovate gn cream,crema cortisol g,clopan g cream,crema gn clovate,powercort n cream,tipovate gn cream
voxinix cr 100 tablet,voxinix cr 100 tableta,serovoxin-er 100 tablet,obsace-er 100mg tablet,ocivox-cr 100 tablet,voxox 100 tablet er,voxaking 100mg tablet er,serovoxin-er 100 tableta,obstadica de 100 mg de obscena,ocivox-cr 100 tableta,voxox 100 tableta er,voxking 100 mg de tableta er
valzaar-h 160 tablet,valzaar-h 160 tableta,valembic h 160mg/12.5mg tablet,,,,,valembic h 160mg/12.5mg tableta,,,,
vysov-m 850mg/50mg tablet,vysov-m 850mg/50mg tableta,vilact m 850 tablet,torglip m 50/850 tablet,encelin m 50/850 tablet,vildamac m 50/850 tablet,valdiff-m 850 tablet,vilact m 850 tableta,torglip m 50/850 tableta,encelin m 50/850 tableta,vildamac m 50/850 tableta,valdiff-m 850 tableta
versitol retard 400 tablet pr,versitol retard 400 tableta pr,zeptol cr 400 tablet,,,,,zeptol cr 400 tableta,,,,
valent-h tablet,valent-h tableta,davaindia valsartan+hydrochlorothiazide 80mg/12.5mg tablet,valfect h 80mg/12.5mg tablet,valembic h 80mg/12.5mg tablet,valzaar-h tablet,valzaar-h tablet,davaindia valsartan+hydrochlorotiazida 80mg/12.5mg tableta,valfect h 80mg/12.5mg tableta,valembic h 80mg/12.5mg tableta,tableta valzaar-h,tableta valzaar-h
voglibite-m 0.2 tablet sr,voglibite-m 0.2 tableta sr,vogliboz m 500mg/0.2mg tablet sr,vozuca-m activ tablet sr,vogs-m 0.2 tablet sr,starvog m 0.2 tablet sr,megavog mf 0.2/500 tablet sr,vogliboz m 500mg/0.2mg tableta sr,vozuca-m act tablet sr,vogs-m 0.2 tableta sr,starvog m 0.2 tableta sr,megavog mf 0.2/500 tableta sr
venla -xr 150 capsule,venla -xr 150 capsula,venlift od 150 capsule pr,venlor-xr 150 capsule,,,,venlift od 150 capsule pr,capsula venlor-xr 150,,,
vibite m 1000 tablet,vibite m 1000 tableta,vildamac m 50/1000 tablet,vilshine m 1000mg/50mg tablet,vilmax-m 1000 tablet,viltrack m forte 1000mg/50mg tablet,vildagard m 1000mg/50mg tablet,vildamac m 50/1000 tableta,vilshine m 1000mg/50mg tableta,vilmax-m 1000 tableta,viltrack m forte 1000mg/50 mg de tableta,vildagard m 1000mg/50mg tableta
valprol -cr 600 tablet,valprol -cr 600 tableta,encorate chrono 600 tablet cr,,,,,encorado crono 600 tableta cr,,,,
vylda-m 850 tablet,vylda-m 850 tableta,vilact m 850 tablet,torglip m 50/850 tablet,encelin m 50/850 tablet,vildamac m 50/850 tablet,valdiff-m 850 tablet,vilact m 850 tableta,torglip m 50/850 tableta,encelin m 50/850 tableta,vildamac m 50/850 tableta,valdiff-m 850 tableta
voglitab-m 0.3 tablet sr,voglitab-m 0.3 tableta sr,vogs-m 0.3 tablet sr,voglibite-m 0.3 tablet sr,velvog m 500 mg/0.3 mg tablet sr,megavog mf 0.3/500 tablet sr,starvog m 0.3 tablet sr,vogs-m 0.3 tableta sr,voglibite-m 0.3 tableta sr,velvog m 500 mg/0.3 mg de tableta sr,megavog mf 0.3/500 tableta sr,starvog m 0.3 tableta sr
vinodine antiseptic germicidal spray,spray germicida antiseptico de vinodina,healz spray,povi 10 spray,drez spray,,,spray de curacion,povi 10 spray,spray,,
vactyph vaccine,vacuna contra la vactifica,bio typh 25mcg injection,typbar-pfs vaccine,typho vi 25mcg injection,,,inyeccion de 25 mcg de biogph,vacuna typbar-pfs,inyeccion typho vi 25mcg,,
vonavir tablet,tableta vonavir,forstavir 200 mg/300 mg/600 mg tablet,teevir tablet,viraday tablet,teefavir tablet,timeovir-em tablet,forstavir 200 mg/300 mg/600 mg de tableta,tableta teevir,tableta viraday,tableta de teefavir,timeovir-em tableta
vilmax-m 1000 tablet,vilmax-m 1000 tableta,vildamac m 50/1000 tablet,vilshine m 1000mg/50mg tablet,viltrack m forte 1000mg/50mg tablet,vildagard m 1000mg/50mg tablet,vilnip m 1000 tablet,vildamac m 50/1000 tableta,vilshine m 1000mg/50mg tableta,viltrack m forte 1000mg/50 mg de tableta,vildagard m 1000mg/50mg tableta,vilnip m 1000 tableta
versitol retard 300 tablet pr,versitol retard 300 tableta pr,zeptol cr 300 tablet,,,,,zeptol cr 300 tableta,,,,
voxinix 100 tablet,voxinix 100 tableta,psyvoxin 100mg tablet,voxazen 100mg tablet,flu ocd 100mg tablet,flumin 100mg tablet,ocivox 100 tablet,psyvoxin 100mg tableta,tableta voxazen 100mg,tableta de 100 mg de ocd de gripe,tableta de 100 mg de flumin,ocivox 100 tableta
venlift od 150 capsule pr,venlift od 150 capsule pr,venla -xr 150 capsule,venlor-xr 150 capsule,,,,venla -xr 150 capsula,capsula venlor-xr 150,,,
vilodon 40mg tablet,vilodon 40mg tableta,vilarest 40 tablet,vilazine 40 tablet,valz 40 tablet,vilalert 40mg tablet,vilamid 40 tablet,mas vilar la tableta 40,vilazina 40 tableta,valz 40 tableta,vilalert 40 mg de tableta,vilamid 40 tableta
valrate cr 200 tablet,valrate cr 200 tableta,valver cr 133.5mg/58mg tablet,torvate chrono 200 tablet cr,encorate chrono 200 tablet cr,valgress-cr 200 tablet,epizeal 133.5mg/58mg tablet cr,valver cr 133.5mg/58mg tableta,torvate chrono 200 tableta cr,encorado chrono 200 tableta cr,valgress-cr 200 tableta,epizeal 133.5mg/58mg tableta cr
vigoquin-kt eye drop,vigoquin-kt ojo caida,kerosite mx eye drop,pariflam kt eye drop,4 quin kt eye drop,moxibust kt eye drop,ocuvel kt eye drop,kerositice mx ojo caida,pariflam kt gota de ojos,4 quin kt gota de ojos,gota de ojos moxibust kt,ocuvel kt eye drop
vincan injection,inyeccion de vincan,,,,,,,,,,
vogloyd 3d 2.2 tablet pr,vogloyd 3d 2.2 tableta pr,ozomet-vg 2 tablet pr,istaphase mg 2 tablet pr,blisto trio 2 tablet pr,daibimet vg 2 tablet pr,glimiflo mv 2 tablet pr,ozomet-vg 2 tableta pr,istaphase mg 2 tableta pr,blisto trio 2 tablet pr,daibimet vg 2 tableta pr,glimiflo mv 2 tableta pr
valz 40 tablet,valz 40 tableta,vilarest 40 tablet,vilodon 40mg tablet,vilazine 40 tablet,vilalert 40mg tablet,vilamid 40 tablet,mas vilar la tableta 40,vilodon 40mg tableta,vilazina 40 tableta,vilalert 40 mg de tableta,vilamid 40 tableta
voglitab md 0.3 tablet,voglitab md 0.3 tableta,starvog 0.3 tablet md,megavog 0.3 tablet md,voglibite 0.3 tablet md,voglinita 0.3mg tablet md,voglimet 0.3mg tablet md,starvog 0.3 tableta md,megavog 0.3 tableta md,voglibite 0.3 tableta md,voglinita 0.3mg tableta md,voglimet 0.3mg tableta md
v druf lotion,v druf lotion,ketostar anti dandruff lotion,af-k lotion,konaz zp lotion,nuforce anti dandruff lotion,dencross scalp lotion,ketostar anti tandruff locion,locion af-k,locion konaz zp,nuforce anti -tandruff locion,locion del cuero cabelludo de dencross
vintel-ct tablet,tableta vintel-ct,newtel-ch 40 tablet,telmikind-ct 40 tablet,telvas-ct 40 tablet,arbitel-ct 40 tablet,macsart ch 40 tablet,tableta newtel-ch 40,telmikind-ct 40 tableta,telvas-ct 40 tableta,arbitel-ct 40 tableta,macsart ch 40 tablet
vozuca-m activ tablet sr,vozuca-m act tablet sr,vogliboz m 500mg/0.2mg tablet sr,vogs-m 0.2 tablet sr,starvog m 0.2 tablet sr,megavog mf 0.2/500 tablet sr,apribose m 0.2 tablet sr,vogliboz m 500mg/0.2mg tableta sr,vogs-m 0.2 tableta sr,starvog m 0.2 tableta sr,megavog mf 0.2/500 tableta sr,apribose m 0.2 tableta sr
vidglit-m tablet sr,vidglit-m tablet sr,teneblu-m tablet sr,debiliptin m 500mg/20mg tablet sr,dynaglipt-m tablet sr,glipti next m 500 tablet sr,gliptel-m tablet sr,teneblu-m pableta sr,debiliptina m 500mg/20mg tableta sr,dynaglipt-m tablet sr,glipti siguiente m 500 tableta sr,tableta gliptel-m sr
valanix 500 tablet,valanix 500 tableta,vavir 500mg tablet,abivela 500mg tablet,valamac 500mg tablet,valcitero 500mg tablet,valclovir 500mg tablet,vavir 500mg tableta,abivela 500mg tableta,valamac 500mg tableta,valcitero 500mg tableta,valclovir 500mg tableta
vasnerv-p tablet,tableta vasnerv-p,sneptin plus 100mg/325mg tablet,etiprin p tablet,lupart p 100mg/325mg tablet,flusan p 100mg/325mg tablet,pruf-p tablet,sneptin mas 100 mg/325mg tableta,etiprin p tableta,lupart p 100mg/325mg tableta,flusan p 100mg/325mg tableta,tableta pruf-p
voglikem 0.2 tablet md,voglikem 0.2 tableta md,megavog 0.2 tablet md,starvog 0.2 tablet md,volitaz 0.2mg tablet md,volpha 0.2mg tablet md,voglimend 0.2 tablet md,megavog 0.2 tableta md,starvog 0.2 tableta md,volitaz 0.2mg tableta md,volpha 0.2mg tableta md,voglimend 0.2 tableta md
vivian 1.16% gel,vivian 1.16% gel,diclotas 1.16% gel,fenak 1.16% gel,diclowin active 1.16% gel,muscare 1.16% gel,vitoria 1.16% gel,diclotas 1.16% gel,fenak 1.16% gel,diclowin activo 1.16% gel,muscare 1.16% gel,vitoria 1.16% gel
volitra-enzo tablet,tableta volitra-enzo,edinase-d  tablet,seradic-plus tablet,umanoflam-d tablet,coevitenz  -d tablet,enzosafe-d tablet,tableta edinasa-d,tableta seradic-plus,tableta umanoflam-d,coevitenz -d tableta,enzosafe-d tableta
vilamid 40 tablet,vilamid 40 tableta,vilarest 40 tablet,vilodon 40mg tablet,vilazine 40 tablet,valz 40 tablet,vilalert 40mg tablet,mas vilar la tableta 40,vilodon 40mg tableta,vilazina 40 tableta,valz 40 tableta,vilalert 40 mg de tableta
vibraset pnt 75mg/10mg/1500mcg tablet,vibraset pnt 75mg/10mg/1500mcg tableta,pregabanyl ntm tablet,axinerve-np tablet,nortimax 75mg/10mg/1500mcg tablet,torner nt 75mg/10mg/1500mcg tablet,pruxa nm 75mg/10mg/1500mcg tablet,tableta pregabanilica ntm,tableta axinerve-np,nortimax 75mg/10mg/1500mcg tableta,torner nt 75mg/10mg/1500mcg tableta,pruxa nm 75mg/10mg/1500mcg tableta
voglitab-m 0.2 tablet sr,voglitab-m 0.2 tableta sr,vogliboz m 500mg/0.2mg tablet sr,vozuca-m activ tablet sr,vogs-m 0.2 tablet sr,starvog m 0.2 tablet sr,megavog mf 0.2/500 tablet sr,vogliboz m 500mg/0.2mg tableta sr,vozuca-m act tablet sr,vogs-m 0.2 tableta sr,starvog m 0.2 tableta sr,megavog mf 0.2/500 tableta sr
vidglit tablet,tableta vidglit,ecoglip-t tablet,dynaglipt tablet,tenlimac tablet,megagliptin tablet,glipon 20mg tablet,tableta ecoglip-t,tableta dynaglipt,tableta tenlimac,tableta de megagliptina,tableta glipon 20mg
voglitab 0.2 tablet,voglitab 0.2 tableta,vozuca activ 0.2 tablet,voglibite 0.2 tablet,vogliboz 0.2 tablet,ppg 0.2 tablet,vingose 0.2mg flashtab,vozuca activa 0.2 tableta,voglibita 0.2 tableta,vogliboz 0.2 tableta,ppg 0.2 tableta,vingose 0.2mg flashtab
vinpocare 5 tablet,vinpocare 5 tableta,cogvin 5mg tablet,vinpace 5mg tablet,vinpotag 5mg tablet,vinpolet 5mg tablet,cognitol 5 mg tablet,tableta cogvin 5mg,vinpace 5mg tableta,vinpotag 5mg tableta,vinpolet 5mg tableta,cognitol 5 mg de tableta
voxee 100 tablet sr,voxee 100 tableta sr,,,,,,,,,,
venlanz 2.5 tablet md,venlanz 2.5 tableta md,tolaz-md 2.5 tablet,olipar-md 2.5 tablet,lanopin 2.5mg tablet md,nexolan rapitab 2.5mg tablet md,zypine md 2.5mg tablet,tolaz-md 2.5 tableta,olipar-md 2.5 tableta,lanopin 2.5mg tableta md,nexolan rapitab 2.5mg tableta md,zypine md 2.5mg tableta
vasozine 0.05% eye drop,vasozine 0.05% de gota para los ojos,,,,,,,,,,
vito gold d3 oral solution,solucion oral vito gold d3,d-liq max oral solution,imic-d3 nano shot butterscotch sugar free,rosa d3 nano shot (5ml each) butterscotch sugar free,d-shine shot oral solution,gemsoline-d3 nano shot,solucion oral maxima d-liq,imic-d3 nano disparo a la carcasa de azucar de butters,rosa d3 nano shot (5 ml cada una) butterscotch sugar free,solucion oral de d-shine shine,gemsoline-d3 nano disparo
valepsy 500 tablet,valepsy 500 tableta,danavish levetiracetam 500mg tablet,levepsy 500 tablet,levefree 500mg tablet,levigress 500 tablet,seiz-free 500 tablet,danavish levetiracetam 500mg tableta,levepsy 500 tableta,levefree 500mg tableta,levigress 500 tableta,tableta de 500 sin ver seglia
vingraf 0.25 capsule,vingraf 0.25 capsula,tacroren 0.25mg capsule,tacromus 0.25 capsule,fujigraf 0.25 capsule,grafnos 0.25mg capsule,takfa 0.25 capsule,tacroren 0.25mg capsula,capsula tacromus 0.25,capsula de fujigraf 0.25,graficnos de 0.25mg capsula,takfa 0.25 capsula
vinicor xl 100 tablet,vinicor xl 100 tableta,metzok 100 tablet pr,metocard xl 100 tablet,cardibeta xr 100 tablet,starpress xl 100 tablet,revelol xl 100 tablet,metzok 100 tableta pr,metocard xl 100 tableta,cardibeta xr 100 tableta,starpress xl 100 tableta,revelol xl 100 tableta
vogligress 0.2mg tablet,vogligress 0.2mg tableta,vozuca activ 0.2 tablet,o berry 0.2 tablet,voglibite 0.2 tablet,vogliboz 0.2 tablet,ppg 0.2 tablet,vozuca activa 0.2 tableta,o berry 0.2 tableta,voglibita 0.2 tableta,vogliboz 0.2 tableta,ppg 0.2 tableta
voglikem-m 0.2 forte tablet sr,voglikem-m 0.2 forte tablet sr,vogliking 0.2 m 1000 tablet sr,,,,,voglikeking 0.2 m 1000 tableta sr,,,,
vabitus-ls syrup,jarabe de vabitus-ls,solvin ls syrup,ambrodil-lx syrup,zerotuss xp syrup,capex ls syrup,broxum ls syrup,solvin ls jarabe,jarabe de ambrodil-lx,jarabe de zerotuss xp,jarabe de capex ls,broxum ls jarabe
vesnac tablet,tableta vesnac,ovanac  tablet,ovanac-plus tablet,mucomeg 600mg tablet,acestine 600 tablet,nacyres tablet,tableta ovanac,tableta ovanac-plus,mucomeg 600mg tableta,acestine 600 tableta,tableta nacyres
vomega-hd soft gelatin capsule,capsula de gelatina suave vomega-hd,,,,,,,,,,
vingose met 0.3/500mg tablet,vingose cumplio 0.3/500 mg de tableta,prandial m 0.3 tablet,vogliplay m 500mg/0.3mg tablet,vogloyd m 500mg/0.3mg tablet,welvog mf 500mg/0.3mg tablet,vogligress-m 0.3mg tablet,prandial m 0.3 tableta,vogliplay m 500mg/0.3mg tableta,vogloyd m 500mg/0.3mg tableta,welvog mf 500mg/0.3 mg de tableta,vogligress-m 0.3mg tableta
vorto gel,gel de vorto,wokon gel,,,,,gel de wokon,,,,
vasnerv tablet,tableta vasnerv,dolpiritin 100mg tablet,torvin 100mg tablet,periflu 100mg tablet,retowel 100mg tablet,flutense 100mg tablet,tableta de 100 mg de dolpiritina,torvin 100mg tableta,tableta periflu 100mg,retowel 100mg tableta,tableta de 100 mg de flutense
wysolone 10 tablet dt,wysolone 10 tableta dt,omnacortil 10 tablet dt,emsolone 10 dt tablet,,,,omnacortil 10 tableta dt,tableta emsolone 10 dt,,,
wikoryl ds syrup orange,wikoryl ds jarabe naranja,coldstar syrup,nam cold z forte syrup,ficold p syrup,felincold syrup,anti cc plus syrup,jarabe de estrella fria,nam fria z forte forte jarabe,jarabe de ficold p,jarabe de felincold,anti cc mas jarabe
wysolone 5 tablet dt,wysolone 5 tableta dt,omnacortil 5 tablet dt,,,,,omnacortil 5 tableta dt,,,,
wikoryl af syrup,wikoryl af jarabe,histacare syrup,hatric 2 syrup,zincold pd syrup,voxikof cold syrup,welminic syrup gluten free,jarabe de histacare,hectric 2 jarabe,jarabe de pd de zincold,voxikof jarabe frio,jarabe welminico sin gluten
wysolone 20 tablet dt,wysolone 20 tableta dt,omnacortil 20 tablet dt,,,,,omnacortil 20 tableta dt,,,,
walamycin suspension,suspension de walamicina,colate 12.5mg oral suspension,colizin oral suspension,nu-vycin dry syrup,bestomycin suspension,,colato 12.5mg suspension oral,suspension oral de colizin,jarabe seco de nu-vycin,suspension de bestomicina,
winolap eye drop,winolap eye drop,oloeye ophthalmic solution,petolo eye drop,olasial eye drops,b oppo 0.1% eye drop,oloblu 0.1% eye drop,oloeye solucion oftalmica,gota de ojos petolo,gotas de los ojos olasial,b oppo 0.1% gota para los ojos,oloblu 0.1% de gota para los ojos
wikoryl af drops,wikoryl af cae,flucold af oral drops,rinojel oral drops,jaldos 2mg/ml/5mg/ml oral drops,rexotril oral drops,nozitis oral drops,flucold af oral gotas,gotas orales de rinojel,jaldos 2mg/ml/5mg/ml gotas orales,rexotril oral gotas,gotas orales de nozitis
warf 5 tablet,warf 5 tableta,cofarin 5mg tablet,mywarf tablet,uniwarfin 5mg tablet,sofarin 5mg tablet,waf 5 tablet,cofarin 5mg tableta,tableta mywarf,tableta uniwarfin 5mg,sofarin 5mg tableta,waf 5 tableta
wincold z tablet,tableta de wincold z,cold xl 5mg/325mg/5mg tablet,snowzy cold tablet,pcp forte 5mg/325mg/5mg tablet,ban cold 5mg/325mg/5mg tablet,ioncold-p 5mg/325mg/5mg tablet,fria xl 5mg/325mg/5mg tableta,tableta fria nevada,pcp forte 5mg/325mg/5mg tableta,ban cold 5mg/325mg/5mg tableta,tableta ioncold-p 5mg/325mg/5mg
wikoryl oral suspension american ice cream,helado americano de la suspension oral de wikoryl,agicold suspension,mucobrex pd oral suspension,unicold s oral suspension,relip oral suspension,nosidus oral suspension,suspension agicold,suspension oral de mucobrex pd,suspension oral de unicold,suspension oral de relip,suspension oral nosidus
wikoryl 325 tablet dt,wikoryl 325 tableta dt,,,,,,,,,,
winolap 5 tablet,winolap 5 tableta,olax 5mg tablet,olax tablet,if 2 tablet,allenil 5mg tablet,alovent 5mg tablet,tableta olax 5mg,tableta olax,si 2 tableta,tableta allenil 5mg,alovent 5mg tableta
willgo cr tablet,tableta de willgo cr,akilos 200mg tablet cr,aclotec 200mg tablet cr,acedol 200mg tablet cr,delupa 200mg tablet cr,equidol 200mg tablet cr,akilos 200mg tableta cr,aclotec 200mg tableta cr,acedol 200mg tableta cr,delupa 200mg tableta cr,equidol 200mg tableta cr
winolap ds eye drop,winolap ds eye drop,olspore-od eye drop,olp-ds eye drop,dopat eye drop,patalo-ds eye drops,petolo-od  eye drop,olspore-od eye drop,drop de los ojos olp-ds,gota de ojos de dopat,gotas para los ojos patalo-ds,gota de ojos petolo-od
wepox 10000iu injection,inyeccion de wepox 10000iu,ceriton epo 10000iu injection,relipoietin 10000iu injection,espogen 10000iu injection,rpo 10000iu injection,epotrend 10000 injection,inyeccion de ceriton epo 10000iu,inyeccion de relipoietin 10000iu,inyeccion de espogen 10000iu,inyeccion rpo 10000iu,epotrend 10000 inyeccion
wokadine 10% ointment,wokadine 10% unguento,eradine ointment,healodine 10% ointment,iodiap ointment,sysdine 10% ointment,povipil ointment,unguento eradino,sanodina del 10%,pomada de yodiap,sysdine 10% unguento,pomada de povipil
warf 2 tablet,warf 2 tableta,cofarin 2mg tablet,uniwarfin 2mg tablet,genericart warfarin 2mg tablet,mywarf tablet,,cofarin 2mg tableta,tableta uniwarfin 2mg,tableta genericart warfarin 2mg,tableta mywarf,
wat-r eye drop,gota de ojo wat-r,just tears eye drop,takfresh eye drop,misty eye drop,relub eye drop,eco tears eye drop,solo lagrimas gota de ojos,takfresh eye good,gota de ojos brumoso,relub eye drop,lagrimas ecologicas caida del ojo
welminic oral drops,gotas orales welminicas,flucold af oral drops,rinojel oral drops,jaldos 2mg/ml/5mg/ml oral drops,rexotril oral drops,nozitis oral drops,flucold af oral gotas,gotas orales de rinojel,jaldos 2mg/ml/5mg/ml gotas orales,rexotril oral gotas,gotas orales de nozitis
wakfree tablet,tableta wakfree,dincerin plus tablet,glucozone  tablet,ostovit dm  tablet,g-cerin tablet,kneejoint care tablet,tableta dincerin plus,tableta de glucozone,tableta ostovit dm,tableta g-cerin,tableta de cuidado de la rodilla
welminic-p syrup,jarabe welminico-p,m cold syrup,indikof p syrup,akuminic p syrup,cufmol plus syrup,colprex syrup strawberry,m jarabe frio,jarabe indikof p,jarabe akuminic p,cufmol mas jarabe,jarabe colprex fresa
wingesic plus tablet,wingesic plus tablet,zeldinac-mr tablet,dicsobon-mr tablet,spnfast mr 250mg/50mg/325mg tablet,d bio mr 250mg/50mg/325mg tablet,forsun mr tablet,tableta zeldinac-mr,tableta dicsobon-mr,spnfast mr 250mg/50mg/325mg tableta,d bio mr 250mg/50mg/325mg tableta,forsun mr tablet
welset 650 tablet,tableta welset 650,algina 650 tablet,puc 650 tablet,paracip 650 tablet,dolo 650 tablet,pacimol 650 tablet,algina 650 tableta,puc 650 tableta,paracip 650 tableta,tableta dolo 650,pacimol 650 tableta
wokadine 10% solution,solucion de wokadine al 10%,intadine hs solution,betadine 10% solution,piodine 10 solution,povishine solution,povinanz 10% solution,solucion hs intadina,solucion de betadine al 10%,solucion de piodina 10,solucion de povishina,povinanz 10% de solucion
walamycin  ds 25mg suspension,walamycin ds 25mg suspension,,,,,,,,,,
wokride-d capsule sr,capsula de wokride-d sr,pepcia-d capsule sr,rabekind-dsr capsule,rzole dsr capsule,rabitop-d capsule sr,rabezol dsr  capsule,capsula pepcia-d sr,capsula rabekind-dsr,capsula rzole dsr,capsula rabitop-d sr,capsula de rabezol dsr
wokadine germicide gargle 2% with menthol,germicida germicida de wokadine 2% con mentol,,,,,,,,,,
wormin 100mg tablet,tableta de 100 mg de desperdicio,mebidex 100mg tablet,nuzole 100mg tablet,mabel 100mg tablet,min min 100mg tablet,stayhappi mebendazole 100mg tablet,tableta mebidex 100mg,nuzol 100mg tableta,tableta mabel 100mg,min min 100mg tableta,stayhappi mebendazol 100mg tableta
welminic dx syrup,jarabe dx welminico,stedkoff dx syrup,arnikof d syrup,tucin d syrup,akof-d syrup sugar free,cufflin syrup,jarabe de stedkoff dx,arnikof d jarabe,jarabe de tucina d,akof-d jarabe de azucar sin azucar,jarabe de cuantio
welset cold tablet,pableta fria de welset,demlar 5mg/325mg/10mg tablet,bio cc 5mg/325mg/10mg tablet,ns cold 5mg/325mg/10mg tablet,cheston cold tablet,okacet cold tablet,demlar 5mg/325mg/10mg tableta,bio cc 5mg/325mg/10mg tableta,ns cold 5mg/325mg/10mg tableta,tableta fria chestton,tableta okacet fria
